---VEHICLE COMPLETION FILE [BY FILE MANAGER] ---
Vehicle 1 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 2 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 3 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 4 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 5 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 6 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 7 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 8 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 9 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 10 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 11 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 12 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 13 | 0->4 | Status: Arrived | TravelTime: 17 steps
Vehicle 14 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 15 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 16 | 1->4 | Status: Arrived | TravelTime: 8 steps
Vehicle 17 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 18 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 19 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 20 | 0->2 | Status: Arrived | TravelTime: 6 steps
Vehicle 21 | 0->2 | Status: Arrived | TravelTime: 6 steps
Vehicle 22 | 0->4 | Status: Arrived | TravelTime: 11 steps
Vehicle 23 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 24 | 0->2 | Status: Arrived | TravelTime: 4 steps
Vehicle 25 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 26 | 0->4 | Status: Arrived | TravelTime: 8 steps
Vehicle 27 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 28 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 29 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 30 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 31 | 1->4 | Status: Arrived | TravelTime: 8 steps
Vehicle 32 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 33 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 34 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 35 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 36 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 37 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 38 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 39 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 40 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 41 | 1->4 | Status: Arrived | TravelTime: 9 steps
Vehicle 42 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 43 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 44 | 1->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 45 | 1->4 | Status: Arrived | TravelTime: 6 steps
Vehicle 46 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 47 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 48 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 49 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 50 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 51 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 52 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 53 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 54 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 55 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 56 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 57 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 58 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 59 | 1->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 60 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 61 | 0->3 | Status: Arrived | TravelTime: 5 steps
Vehicle 62 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 63 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 64 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 65 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 66 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 67 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 68 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 69 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 70 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 71 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 72 | 1->4 | Status: Arrived | TravelTime: 6 steps
Vehicle 73 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 74 | 2->3 | Status: Arrived | TravelTime: 2 steps
Vehicle 75 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 76 | 0->3 | Status: Arrived | TravelTime: 5 steps
Vehicle 77 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 78 | 0->2 | Status: Arrived | TravelTime: 2 steps
Vehicle 79 | 1->4 | Status: Arrived | TravelTime: 4 steps
Vehicle 80 | 0->3 | Status: Arrived | TravelTime: 5 steps
Vehicle 81 | 1->3 | Status: Arrived | TravelTime: 3 steps
Vehicle 82 | 1->2 | Status: Arrived | TravelTime: 1 steps
Vehicle 83 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 84 | 0->3 | Status: Arrived | TravelTime: 4 steps
Vehicle 85 | 0->4 | Status: Arrived | TravelTime: 5 steps
Vehicle 86 | 1->4 | Status: Arrived | TravelTime: 6 steps
